PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
109.25,150,1.15,23.32,13.25,12.23,0.38,14.37,89.67,0.35,5.4,0.2,159
115.5,173.75,2.12,24.48,14.75,11.1,0.1,23.55,94.1,0.3,4.83,0.2,158
109,167.5,1.7,21.55,12.85,10.08,0.1,24.4,113.65,0.3,4.05,0.15,159
89.75,141.5,1.6,16.95,10.3,10.65,0.1,19.6,126.92,0.3,2.93,0.1,157
77,113,1.5,16.8,10.15,10.95,0.1,17,138.2,0.2,1.6,0.05,156
55.75,97.5,1.62,13.27,8.4,9.9,0.1,,140.6,0.2,1.68,0,160
59,96.25,68.57,83.48,100.15,6.75,0.1,10.7,137.22,0.2,1.95,0,160
51,84,1.65,13.4,8.42,11.32,0.1,8.83,137.7,0.2,2.2,0,160
48.75,80.75,1.38,15.22,9.23,11.1,0.08,6.83,140.17,0.18,2.53,0,160
50,82.75,1.28,14.08,8.55,12.93,0.2,6.07,141.6,0.2,2.8,0,161
58,88.75,1.72,20.02,12.08,12.7,0.2,6.9,141.1,0.2,2.7,0,161
75.25,125,1.92,30.53,17.8,14.67,0.18,11.18,121.05,0.3,2.82,0.05,162
113,182.5,1.27,37,20.72,16.92,0.08,14.43,107.3,0.73,3.95,0.23,168
123,201.75,1.35,32.88,18.6,14.65,0.1,11.1,99,0.5,4.52,0.38,175
117,174,1.05,10.75,6.55,11.47,0.1,8.1,122,0.33,3.82,0.13,181
71,99.5,0.38,10,5.65,11.67,0.1,8.85,127.4,0.2,2.47,0,181
86,105.75,0.15,9.4,5.12,10.78,0.1,8.23,122.98,0.2,1.95,0,182
77,102,0.18,15.85,8.55,10.67,0.1,9.28,101.45,0.2,2.07,0,180
89.75,123.75,0.4,21.3,11.65,12.18,0.1,9,84.77,0.3,2.38,0.1,180
93.75,138.25,0.6,20.57,11.4,14.45,0.1,10.15,86.23,0.33,3.77,0.1,181
108.75,156,0.55,20.43,11.27,16.93,0.1,9.73,77.42,0.4,6.67,0.1,185
111,153,0.55,25.03,13.72,22.12,0.2,8.4,74,0.3,6,0.05,188
108.75,151,0.23,19.95,10.75,16.9,0.4,8.35,89.65,0.3,5.05,0.05,191
113.25,148.75,0.73,30.23,16.65,15.37,0.1,8.8,74.48,0.3,3.32,0.13,193
122.25,147.25,0.88,16.95,9.68,16.5,0.1,13.9,111.25,0.33,3.47,0.08,195
102,135.25,1.35,18.95,11.15,13.2,0.1,18.7,115.17,0.3,2.25,0,193
99,131.5,1.82,19.93,12.1,13.27,0.1,19.5,122,0.2,1.52,0,192
86.75,126,1.32,18.73,11,12.62,0.08,17.03,131.8,0.3,1.47,0.08,191
101.25,120.5,1.55,16.25,9.95,12.3,0.1,11.4,144.03,0.2,1.47,0.05,195
146.75,112.25,1.3,14.68,8.85,12.93,0.1,117.62,146,0.2,1.73,0,207
65.25,108.75,66.63,85.57,99.73,9.62,0.08,8.23,150.45,0.2,2.12,0,208
67,108.25,1.05,16.65,9.73,16,0.1,8.15,153.85,0.2,2.85,0.03,210
69.5,115.75,1.05,18.6,10.75,17.83,0.15,5.25,147.5,0.18,3.43,0,213
68.25,109,1.13,16.28,9.55,14.4,0.1,5,142.6,0.2,3.45,0,216
68,106.25,1.4,13.5,8.27,14.3,0.13,4.12,133.75,0.2,2.78,0,217
64.5,104,1.25,15.4,9.25,10.85,0.08,5.93,119.57,0.13,2.8,0,216
63.25,106,1.32,11.58,7.2,10.35,0.1,7.03,123,0.1,2.4,0,209
62.75,94.75,0.88,9.12,5.55,10.55,0.1,7.08,129.85,0.2,1.9,0,200
70.25,99.75,0.48,10.25,5.85,10.7,0.1,7.48,130.83,0.2,2,0,194
78.25,109.25,1.25,12.75,7.8,11.65,0.1,7.92,122.98,0.2,2.25,0,195
83.5,115.25,0.78,16.88,9.6,13.53,0.1,8.38,117.6,0.23,2.82,0.05,195
88,122,0.77,19.78,11.18,13.58,0.1,7.95,94.57,0.3,3.62,0.1,196
94.75,133,1.15,27.85,15.77,13.88,0.1,8.4,87.2,0.33,4.15,0.15,197
104,142,0.65,27.02,14.93,12.85,0.05,6.85,87.23,0.35,4.22,0.1,198
104,142.75,0.33,26.07,14.12,14.15,0.08,6.73,66.65,0.38,4.77,0.1,198
100.5,140.5,0.7,20.22,11.33,13.23,0.08,6.55,74.02,0.3,4.95,0.1,196
98.25,125.75,0.63,15.28,8.65,12.67,0.1,6.65,106.8,0.28,3.15,0,195
97,124.5,0.7,17.15,9.67,13.97,0.1,7.95,106.33,0.2,2.52,0,192
103,134,0.85,17.4,9.95,17.48,0.1,10.05,106.33,0.3,2.52,0,190
117.25,148,1.68,23.38,13.82,18.2,0.1,17.35,103.4,0.35,2.85,0.1,192
128.75,170,1.65,25.88,15.12,17.82,0.1,24.32,118.08,0.4,2.95,0.13,196
111,157.25,1.1,19.58,11.25,15.5,0.15,21.22,143.57,0.38,2.95,0.08,199
92.5,132.5,1.3,19.08,11.2,11.75,0.1,10.77,147.5,0.25,2.62,0.08,198
81,117.75,1.5,18.03,10.77,11.23,0.1,,156.8,0.2,3.22,0.1,189
75.25,111.25,9.38,28.92,24.2,18.78,0.1,13.92,153.85,0.2,4.23,0.08,190
64.75,101.25,1.7,26.48,15.5,14.05,0.08,68.82,146.5,0.2,4.52,0.08,190
59.5,98.25,1.88,36.33,20.85,14.65,0.13,75.72,152.4,0.2,5.07,0.03,189
62.75,105.5,1.38,26.7,15.35,15.53,0.25,28.12,172.5,0.2,6.38,0,211
64.75,114.25,1.55,28.48,16.4,15.23,0.2,14.45,171.5,0.2,7.67,0,211
97.25,154.25,1.6,28.17,16.3,15.62,0.1,11.77,125.95,0.28,6.75,0.03,211
136.5,205,2.23,38.22,22.15,13.3,0.1,9.47,87.73,0.3,5.3,0.1,211
116,185.25,1.82,28.4,16.57,12.97,0.1,8.6,107.3,0.33,5.1,0.1,211
113.25,163.75,1.62,35.7,20.28,13.55,0.1,7.68,92.12,0.3,4.5,0.1,216
110.25,164,1.58,35.3,20.07,21.18,0.08,4,99.47,0.3,5.45,0.08,220
103.75,152,0.6,26.15,14.38,21.77,0.18,3.05,105.35,0.35,7.43,0.08,223
118,161,0.82,34.03,18.75,18.3,0.43,3.73,91.17,0.4,7.93,0.15,227
119.25,162.75,0.4,30.4,16.47,17.6,0.85,5.33,75.93,0.4,8.67,0.13,230
120,162.25,0.25,27.6,14.88,15.77,0.05,8,91.12,0.4,8.83,0.2,233
110.75,146.75,0.4,24.07,13.12,14.5,0.03,8.48,71.55,0.4,7.6,0.13,234
113.25,156.25,0.43,47.43,25.55,13.72,0.08,7.55,17.13,0.4,7.42,0.13,235
122.75,168.75,0.13,41.18,22,13.95,0.05,6.23,27.45,0.4,6.6,0.18,239
119.5,165.5,0.55,30.23,16.55,14.75,0,5.95,33.8,0.38,6.35,0.13,242
114,162.75,2.25,39.45,22.83,15.95,0.08,6.2,32.35,0.38,6.2,0.18,243
121.25,175.5,2.7,34.95,20.8,18.38,0.1,6.9,48.02,0.5,6.4,0.23,244
124.5,179.75,2.55,31.12,18.65,17.45,0.1,13.92,86.75,0.5,6.67,0.25,243
117,192,1.45,21.85,12.75,16.82,0.1,29.95,139.15,0.43,5.88,0.15,244
